WKT,name,description
"POINT (-66.1239202 18.4706276)",Castillo San Felipe del Morro,
"POINT (-66.1110077 18.4673652)",Castillo San Cristóbal,
"POINT (-66.0922646 18.4534434)",Puerto Rico Convention Center,
"POINT (-66.1200843 18.4418285)",Bahía Viva Cataño,
"POINT (-66.1392645 18.4582111)",Casa BACARDÍ,
"POINT (-66.0787831 18.4406474)",Parque Central de San Juan,
"POINT (-66.08783760000001 18.4320398)",Sam's Club,
"POINT (-66.07794369999999 18.4599451)",Condado Beach,
"POINT (-66.073848 18.4217487)",Plaza Las Américas,
"POINT (-66.0652303 18.424722)",24 Market Place,
"POINT (-66.18611489999999 18.4737841)",Balneario Punta Salinas Beach,
"POINT (-66.0730507 18.4075321)",Parque Luis Muñoz Marín,
"POINT (-66.0497544 18.4027965)",University of Puerto Rico at Río Piedras,
"POINT (-66.0255014 18.4121507)",The Mall of San Juan,
"POINT (-66.28178170000001 18.4661388)",Pirilo Pizza Rústica,
